surgery,age,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,rectal_exam_feces,abdomen,abdomo_appearance,surgical_lesion,abdomo_protein,lesion_1,packed_cell_volume,total_protein,nasogastric_reflux_ph,rectal_temp,pulse,respiratory_rate,outcome
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,None,absent,moderate,slight,more_1_liter,None,distend_small,serosanguious,yes,2,3205,55,75,1,38.5,96,40,euthanized
no,adult,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,slight,significant,none,normal,firm,clear,no,5,0,44,7.5,7,38.5,92,28,lived
yes,adult,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,slight,none,normal,normal,serosanguious,yes,2,7111,57,8.1,7,38.1,132,24,euthanized
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,slight,none,None,None,serosanguious,yes,4.5,1400,46,6.1,2,38,48,16,euthanized
yes,adult,warm,normal,normal_pink,less_3_sec,mild_pain,normal,slight,slight,more_1_liter,decreased,distend_small,clear,yes,5.3,2112,39,6.2,5,39.4,64,36,lived
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_large,clear,yes,3.6,2124,41,6.5,3,37.9,64,40,lived
yes,young,cool,reduced,dark_cyanotic,less_3_sec,extreme_pain,absent,severe,significant,more_1_liter,absent,distend_large,cloudy,yes,2.6,8400,67,8.1,4,39,120,40,died
no,adult,cool,reduced,pale_pink,more_3_sec,depressed,absent,moderate,significant,less_1_liter,absent,distend_large,None,yes,1,1400,75,81,2,37.1,84,20,euthanized
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,significant,more_1_liter,absent,distend_large,clear,yes,3.6,3205,33,6,3.5,37.5,48,28,lived
yes,young,cool,reduced,dark_cyanotic,less_3_sec,severe_pain,hypomotile,slight,none,more_1_liter,decreased,normal,serosanguious,yes,4.4,4300,47,7.6,1.5,36.4,129,28,died
yes,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,absent,distend_small,cloudy,no,7,2124,42,4.5,4.5,38.5,48,12,lived
yes,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,decreased,distend_small,serosanguious,yes,1,5400,45,75,5.3,37.8,48,20,lived
yes,adult,normal,normal,bright_red,more_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,None,distend_small,serosanguious,yes,4.5,2124,57,8,5,40.3,114,36,lived
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,decreased,distend_large,clear,yes,5,31110,35,6.5,7,38.2,60,40,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_large,serosanguious,yes,4.1,31110,50,6.6,4.5,39.2,88,24,lived
no,adult,cool,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,more_1_liter,absent,None,clear,no,2,0,43,53,2,38.6,48,24,lived
yes,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,slight,less_1_liter,decreased,other,clear,no,1,3111,42,7,7,38.3,52,16,lived
yes,adult,normal,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,none,normal,None,cloudy,no,2.9,31110,39,6.5,7,37.8,44,12,lived
yes,adult,cold,reduced,dark_cyanotic,more_3_sec,mild_pain,absent,slight,slight,more_1_liter,None,distend_small,serosanguious,yes,3.9,2205,69,8.9,5,37.5,96,24,lived
no,adult,cold,reduced,pale_cyanotic,more_3_sec,None,absent,moderate,significant,none,absent,distend_large,cloudy,no,1,31110,46,6.6,2.6,38.6,96,30,lived
no,adult,cool,reduced,pale_pink,less_3_sec,None,absent,slight,slight,more_1_liter,decreased,firm,clear,no,3,400,47,8.2,5,38.3,52,24,lived
yes,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,severe,slight,none,absent,distend_large,serosanguious,yes,3.6,2300,60,6,4.4,38.1,108,36,died
yes,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,absent,distend_small,None,yes,3.6,2208,35,6.7,3,38,44,9,lived
yes,adult,cold,absent,bright_red,more_3_sec,depressed,absent,moderate,slight,more_1_liter,absent,distend_small,cloudy,yes,1.4,2209,74,6.6,1,39.1,96,40,died
yes,young,cool,reduced,bright_red,more_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,increased,None,serosanguious,yes,4.5,2305,73,7.4,4.5,38.4,164,24,died
yes,adult,cool,normal,pale_pink,less_3_sec,mild_pain,absent,moderate,none,more_1_liter,absent,distend_small,cloudy,yes,2.8,2208,38,7,5.5,37.5,42,32,died
yes,adult,normal,reduced,bright_red,less_3_sec,depressed,hypomotile,severe,none,less_1_liter,absent,distend_small,cloudy,yes,2.3,4205,43,7.2,7,39.5,124,51,lived
yes,adult,cool,normal,bright_red,more_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,normal,distend_small,clear,yes,3.9,2208,47,7,7,38,84,36,died
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,mild_pain,absent,slight,None,more_1_liter,absent,distend_small,serosanguious,yes,5.3,2208,58,7.6,7,36.5,108,24,lived
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,absent,distend_large,clear,yes,5,31110,39,8.5,4.5,38.3,40,23,lived
no,adult,cold,reduced,dark_cyanotic,less_3_sec,depressed,absent,none,slight,more_1_liter,normal,distend_small,cloudy,yes,2.3,2113,48,8.5,5,38,52,24,lived
yes,adult,cold,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,decreased,distend_large,serosanguious,yes,4.8,3205,63,7.2,4.4,38.9,80,40,euthanized
yes,adult,cold,reduced,bright_pink,more_3_sec,severe_pain,absent,severe,none,none,None,None,serosanguious,yes,2,3205,53,64,2,38.7,60,32,euthanized
yes,adult,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,absent,distend_small,clear,yes,6.2,2206,37,6.4,5.5,38.4,40,24,died
yes,adult,cool,normal,pale_cyanotic,more_3_sec,mild_pain,hypomotile,slight,none,less_1_liter,absent,distend_small,serosanguious,yes,6.6,2208,44,7.5,7,39.3,64,36,lived
yes,young,cool,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,None,None,serosanguious,yes,5.3,2208,53,5.5,7,39,128,36,died
yes,adult,cold,reduced,pale_pink,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,None,distend_large,serosanguious,yes,2,2205,48,66,2,38.5,88,30,euthanized
yes,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,slight,slight,less_1_liter,absent,distend_small,cloudy,yes,1,2113,51,5.5,2,39.1,100,51,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,None,distend_large,serosanguious,yes,3.6,9400,48,7.5,5,38.3,88,36,lived
no,adult,cool,normal,bright_pink,less_3_sec,alert,hypermotile,slight,none,more_1_liter,normal,normal,cloudy,no,7.2,0,57,8.1,5.5,37.5,52,16,lived
no,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,more_1_liter,decreased,firm,cloudy,no,3.9,5000,49,6,5.3,38,48,16,lived
yes,adult,cold,reduced,pale_pink,less_3_sec,depressed,hypomotile,none,slight,none,None,distend_large,serosanguious,yes,3.6,2124,47,7,3,39,64,30,lived
yes,adult,normal,normal,bright_red,less_3_sec,mild_pain,hypomotile,none,none,more_1_liter,normal,distend_small,cloudy,yes,1.6,2112,54,7.5,7,38.3,66,18,lived
yes,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,absent,distend_small,serosanguious,yes,4.3,2209,57,7,4.5,37.2,40,12,lived
yes,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,slight,slight,none,None,other,clear,no,10,3111,49,8,5,38,36,20,lived
yes,young,cool,reduced,None,less_3_sec,extreme_pain,absent,severe,significant,more_1_liter,decreased,distend_small,serosanguious,yes,4.1,2209,47,6.5,4.5,38.3,40,36,died
yes,adult,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,none,none,absent,distend_small,serosanguious,yes,3.4,7111,60,6.5,7,38.5,184,84,died
no,adult,normal,normal,normal_pink,less_3_sec,alert,normal,none,slight,less_1_liter,normal,normal,clear,no,1.3,0,43,7.5,7,38.4,54,24,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,absent,distend_large,serosanguious,yes,2.6,3209,71,7.2,5,39.1,96,24,lived
no,young,cool,normal,bright_red,more_3_sec,depressed,hypomotile,slight,slight,more_1_liter,decreased,distend_small,serosanguious,yes,4.3,8400,72,8.1,6.5,40.3,114,36,died
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,slight,none,less_1_liter,None,distend_small,None,yes,2,2113,66,13,2,39.3,100,51,euthanized
no,adult,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,None,distend_large,clear,yes,2,1400,57,8.5,6.5,35.4,140,36,died
yes,adult,cool,reduced,bright_red,more_3_sec,severe_pain,hypomotile,moderate,none,more_1_liter,decreased,None,cloudy,no,2,2209,75,55,2,38.3,90,40,euthanized
yes,adult,normal,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,slight,slight,more_1_liter,absent,distend_large,clear,yes,2,2124,48,60,5,38.3,88,12,lived
no,adult,cool,None,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,absent,distend_small,serosanguious,no,3.3,2209,33,6.6,4.5,38.6,44,16,lived
yes,adult,None,reduced,dark_cyanotic,more_3_sec,depressed,absent,none,slight,more_1_liter,absent,distend_small,None,yes,5.2,2112,48,7.2,6.2,38.3,132,18,lived
yes,adult,cold,reduced,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,None,None,clear,no,2.5,8300,47,7.2,7.5,38.9,56,40,lived
no,adult,cool,normal,normal_pink,less_3_sec,depressed,normal,slight,none,none,normal,None,clear,no,2.1,8300,47,7.5,7,38.2,56,40,lived
no,adult,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,slight,slight,none,normal,firm,clear,yes,5.2,0,54,8,7.2,38.6,52,40,lived
no,adult,cool,reduced,normal_pink,less_3_sec,severe_pain,hypomotile,moderate,none,less_1_liter,None,distend_small,serosanguious,no,2,1400,65,81,1,39.2,84,28,euthanized
no,adult,warm,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,none,normal,normal,clear,no,5,0,49,7.2,5,38,48,16,lived
no,adult,warm,reduced,normal_pink,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,normal,None,serosanguious,yes,5.3,21110,42,8.5,6.5,38.3,52,40,euthanized
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,decreased,distend_large,cloudy,yes,3.9,3111,45,7,3,38.1,66,12,lived
yes,adult,cool,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,absent,distend_small,serosanguious,yes,4.6,2205,40,5.9,4.5,37.8,88,28,died
yes,adult,normal,reduced,dark_cyanotic,more_3_sec,severe_pain,hypomotile,moderate,none,none,absent,distend_small,cloudy,yes,3.4,2208,57,8.1,7,38,132,66,lived
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,severe,none,less_1_liter,absent,distend_large,clear,no,2,1400,75,81,2,39.7,84,40,euthanized
no,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,decreased,distend_small,clear,no,5.2,400,26,8.1,5.2,37.1,52,24,lived
no,adult,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,none,less_1_liter,absent,distend_large,serosanguious,yes,4.3,31110,41,7,7,38,114,36,lived
yes,adult,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,slight,slight,none,normal,distend_large,serosanguious,yes,4.5,7400,44,8.1,7,40.3,86,36,lived
yes,adult,normal,normal,bright_red,more_3_sec,mild_pain,hypomotile,none,slight,none,decreased,None,cloudy,yes,1,2113,50,7.5,7,39.1,60,18,lived
yes,adult,warm,normal,normal_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_small,serosanguious,yes,4.8,5111,35,4.3,4,38.2,76,20,lived
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,depressed,absent,slight,slight,less_1_liter,decreased,distend_small,clear,no,1,2113,64,8,3,38.3,96,44,lived
yes,adult,normal,normal,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,absent,distend_small,serosanguious,yes,2.8,2206,37,6.6,2,38,54,36,lived
yes,young,normal,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,None,none,decreased,None,serosanguious,yes,4.9,11400,53,4.9,4.4,37.8,128,51,died
no,adult,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,moderate,slight,less_1_liter,None,distend_small,serosanguious,no,3.4,2205,55,7.5,5,38.2,66,12,lived
yes,adult,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,None,more_1_liter,None,distend_small,cloudy,yes,2,2205,57,85,2,39.3,88,20,euthanized
no,adult,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,less_1_liter,None,other,clear,no,1,0,37,67,2,38.1,60,42,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,extreme_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_small,serosanguious,yes,4.3,2205,48,8.5,6.5,37.2,88,30,died
no,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,None,less_1_liter,None,distend_small,serosanguious,yes,3.9,2208,50,6,3,37.1,84,36,euthanized
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,decreased,distend_large,clear,yes,3,3111,36,6,3,38.2,48,12,lived
no,adult,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,None,more_1_liter,absent,distend_large,serosanguious,no,2.8,4205,57,6,5.5,39,112,16,euthanized
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,decreased,firm,clear,no,8,0,43,7,7.5,38.4,54,20,lived
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,None,more_1_liter,decreased,None,serosanguious,yes,4.7,2208,48,7.2,5.5,37.8,96,24,lived
yes,adult,None,reduced,pale_pink,more_3_sec,depressed,absent,slight,none,less_1_liter,normal,None,cloudy,yes,2,3111,43,6.2,5.5,38.1,114,36,lived
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,hypomotile,None,slight,more_1_liter,normal,distend_large,clear,yes,2.2,3205,43,7,5,37.7,72,40,euthanized
yes,adult,normal,normal,pale_pink,more_3_sec,extreme_pain,normal,severe,None,None,normal,normal,clear,yes,3.4,2112,38,4.6,3,37.6,72,12,died
no,adult,cool,normal,None,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,decreased,distend_small,serosanguious,no,3.6,1124,43,6.2,5,37.5,84,24,lived
yes,adult,cool,absent,bright_red,more_3_sec,depressed,absent,none,None,less_1_liter,absent,distend_small,serosanguious,yes,2,2113,66,13,2,39.2,100,51,lived
no,adult,cool,reduced,pale_cyanotic,less_3_sec,depressed,absent,slight,none,more_1_liter,absent,distend_small,serosanguious,no,3.4,2209,52,8.6,5,37.5,88,16,euthanized
no,adult,normal,normal,bright_pink,less_3_sec,depressed,normal,slight,none,more_1_liter,normal,firm,cloudy,no,1.6,0,49,7.2,5.3,38.5,52,16,lived
yes,adult,cold,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,significant,more_1_liter,absent,distend_small,serosanguious,yes,3.2,12208,48,7.4,4,37.1,72,48,died
yes,adult,cool,None,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,absent,distend_small,None,yes,9.1,2208,44,7.2,6.5,37.2,48,48,lived
yes,adult,cool,reduced,pale_pink,more_3_sec,extreme_pain,hypomotile,moderate,none,more_1_liter,absent,distend_small,serosanguious,yes,3.4,2207,47,3.5,6.5,39.5,100,30,died
yes,adult,normal,normal,bright_red,less_3_sec,severe_pain,normal,slight,slight,none,normal,None,cloudy,yes,2.3,2112,44,7.5,7,37.6,44,12,died
yes,adult,cool,normal,bright_pink,less_3_sec,depressed,normal,slight,none,more_1_liter,decreased,None,cloudy,yes,2,2209,52,75,2,38.2,36,16,euthanized
yes,adult,cold,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,none,slight,none,decreased,distend_small,cloudy,yes,3.6,2205,44,6,3,38.1,66,12,lived
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,moderate,none,none,absent,distend_small,serosanguious,yes,4.4,2209,48,8.8,7,38,48,20,euthanized
no,adult,normal,normal,normal_pink,less_3_sec,alert,normal,none,significant,None,normal,None,cloudy,no,7,0,46,5.9,7,37.8,56,28,lived
yes,adult,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,significant,less_1_liter,normal,distend_small,cloudy,yes,1.3,2112,38,6.6,7,37.5,44,36,lived
no,adult,cool,reduced,pale_cyanotic,less_3_sec,None,hypomotile,moderate,slight,more_1_liter,None,distend_large,serosanguious,yes,3.9,2206,44,7,7,37.8,72,52,lived
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,absent,slight,slight,more_1_liter,absent,distend_small,cloudy,yes,7,7111,48,8,6.5,37.6,88,16,died
yes,adult,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_large,clear,yes,1,3209,38,6.7,6.6,37.5,66,12,died
no,adult,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,absent,distend_small,serosanguious,yes,4.8,2208,52,7,4.3,36.1,108,30,died
yes,adult,cool,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,slight,less_1_liter,absent,distend_large,serosanguious,yes,2.6,1124,45,6.5,4.5,39.5,76,24,died
yes,young,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,none,none,more_1_liter,normal,None,serosanguious,yes,2.6,3111,54,6.9,5.5,37.2,96,24,died
yes,adult,normal,reduced,bright_red,less_3_sec,severe_pain,hypomotile,none,none,less_1_liter,normal,None,cloudy,yes,6,2112,56,8,7,38.1,52,96,died
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,absent,distend_small,serosanguious,no,3.6,2205,60,7,6.2,38.6,108,32,died
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,normal,slight,slight,more_1_liter,decreased,distend_large,clear,yes,2,3111,40,60,1,38.2,40,12,lived
yes,young,normal,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,None,less_1_liter,decreased,None,cloudy,yes,2.6,8400,74,6.8,6.5,37.6,184,60,died
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,decreased,distend_large,clear,yes,3.9,3111,30,6,3,38.3,88,24,lived
no,adult,cool,normal,bright_red,more_3_sec,mild_pain,hypomotile,none,slight,none,normal,None,serosanguious,yes,4.5,1400,44,7.5,7,40,80,36,died
no,adult,cool,normal,bright_red,less_3_sec,depressed,normal,slight,slight,more_1_liter,increased,normal,cloudy,yes,4.5,2209,55,5.9,5,38.5,78,28,euthanized
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,absent,distend_small,serosanguious,yes,3.6,2124,67,4.5,6.5,39.5,132,96,lived
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_large,cloudy,yes,5.3,2112,37,64,5,37.8,48,12,lived
no,adult,normal,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,slight,none,decreased,firm,cloudy,no,2.6,2113,45,7.5,7,38.1,48,24,lived
no,adult,cool,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,more_1_liter,normal,firm,serosanguious,no,5.3,0,36,6.6,5.5,37.8,48,28,lived
no,adult,cold,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,decreased,distend_small,serosanguious,no,2,1111,49,69,2,38.1,80,52,lived
no,adult,normal,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,normal,distend_large,serosanguious,yes,4.5,31110,57,8.1,7,38.2,114,16,euthanized
yes,adult,cool,reduced,pale_pink,more_3_sec,depressed,absent,moderate,None,less_1_liter,absent,distend_small,serosanguious,no,4.4,11300,53,8.2,2,38.1,112,36,died
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,absent,distend_small,cloudy,yes,1,2209,37,7.6,1.5,37.9,42,12,lived
yes,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,less_1_liter,normal,distend_small,cloudy,yes,6,31110,30,6,3,38.3,60,16,lived
yes,adult,cool,normal,pale_pink,less_3_sec,depressed,absent,moderate,slight,less_1_liter,absent,distend_small,serosanguious,yes,2,2205,50,55,2,37.8,44,21,lived
no,adult,normal,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,decreased,distend_small,cloudy,yes,3.9,2208,64,9,6,37.8,92,28,lived
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,None,none,decreased,None,cloudy,yes,1.5,5206,35,6.6,4.5,37.9,60,30,died
yes,adult,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,none,more_1_liter,absent,distend_small,serosanguious,yes,4.3,2207,75,8.8,4,37.4,104,12,died
no,adult,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,slight,none,more_1_liter,absent,distend_small,clear,no,3.4,3111,41,89,5.5,37.2,60,90,lived
yes,adult,normal,normal,pale_pink,less_3_sec,depressed,hypermotile,none,slight,none,normal,distend_large,cloudy,yes,3.9,3205,47,8,7,37.6,68,28,lived
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,normal,firm,cloudy,no,1.3,0,37,7.2,5.5,38,42,12,lived
yes,adult,cool,normal,normal_pink,less_3_sec,severe_pain,normal,moderate,significant,more_1_liter,decreased,None,cloudy,no,1,3111,37,75,2,38,36,16,euthanized
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,mild_pain,absent,moderate,slight,more_1_liter,absent,distend_small,serosanguious,yes,3.3,2205,64,5.8,4,37.8,96,20,died
yes,adult,normal,None,pale_pink,less_3_sec,None,absent,moderate,none,more_1_liter,None,distend_small,clear,yes,1,2208,42,71,2,37.2,52,16,euthanized
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,absent,distend_small,serosanguious,no,2,2205,45,68,2,37.7,88,16,euthanized
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,none,more_1_liter,absent,distend_small,serosanguious,yes,2,2208,50,75,2,38.3,60,30,euthanized
yes,adult,normal,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,decreased,distend_small,clear,yes,1,2208,44,74,2,38.5,72,30,lived
yes,adult,warm,normal,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_small,serosanguious,yes,2.6,2208,44,66,4.5,38.5,84,30,lived
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,decreased,distend_small,clear,yes,1.6,3111,48,6.6,4.4,38.5,48,16,lived
yes,adult,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,None,distend_large,serosanguious,yes,4.5,3205,57,4.5,7,40.3,114,36,died
no,adult,cool,reduced,bright_red,less_3_sec,depressed,absent,moderate,slight,more_1_liter,decreased,None,cloudy,no,3.4,400,73,11,2,37.6,60,20,died
no,adult,warm,reduced,pale_pink,less_3_sec,depressed,absent,none,slight,more_1_liter,absent,distend_large,serosanguious,no,4.3,31110,47,7.5,7,38.2,84,36,died
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,moderate,slight,none,None,distend_small,serosanguious,yes,4.5,2124,57,8.5,7,39.3,129,8,lived
no,adult,cool,reduced,bright_red,less_3_sec,severe_pain,hypomotile,severe,slight,more_1_liter,absent,distend_large,cloudy,yes,4.9,1400,47,7.5,4,37,72,96,died
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,severe,significant,none,absent,distend_large,serosanguious,yes,3.4,4205,66,7.5,4,37.7,96,30,died
yes,adult,cold,reduced,pale_pink,less_3_sec,None,hypomotile,moderate,none,none,None,distend_large,serosanguious,yes,2,3205,57,65,2,38.2,120,48,euthanized
no,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,none,none,decreased,other,clear,no,8,3111,49,7,7.5,38.9,48,16,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,mild_pain,absent,moderate,slight,none,absent,distend_small,serosanguious,yes,2,2208,57,8.1,7,39.4,114,36,lived
yes,adult,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,decreased,distend_small,cloudy,yes,1.5,2208,31.5,6.2,3,38,66,12,lived
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,normal,distend_small,cloudy,yes,2,2209,50,7,3,38.4,120,24,lived
yes,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,slight,slight,more_1_liter,normal,distend_small,cloudy,yes,2.6,2206,73,10.2,5.3,37.8,84,20,euthanized
no,adult,cold,reduced,dark_cyanotic,less_3_sec,depressed,absent,slight,slight,more_1_liter,absent,distend_small,serosanguious,yes,4.6,3207,75,5.5,5,38.1,104,35,died
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,decreased,firm,clear,no,1.5,9400,40,6.5,5,38,48,20,lived
no,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypermotile,none,slight,more_1_liter,increased,other,clear,no,2,0,36,61,2,38.6,40,16,lived
no,adult,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,none,decreased,other,clear,no,3.6,3111,49,7,7,38.5,54,24,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,none,none,decreased,normal,cloudy,yes,2.7,31110,45,7.2,7,38.7,108,42,lived
no,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,slight,none,more_1_liter,absent,distend_small,serosanguious,yes,6.6,1400,33,6.6,5.5,36.6,96,28,died
no,adult,cold,normal,bright_red,more_3_sec,depressed,absent,none,slight,more_1_liter,normal,distend_large,cloudy,no,3.2,5111,48,7.2,5,38.3,52,18,lived
no,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,more_1_liter,None,other,clear,no,1,3111,44,7.5,5.5,37.8,48,16,lived
no,adult,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,normal,distend_large,clear,no,2.6,3111,48,7.6,7,38.5,40,9,lived
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_small,cloudy,yes,2.7,2300,47,6.5,6.5,38.9,60,30,euthanized
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,absent,distend_small,clear,yes,7,2209,75,8.3,7.5,38.1,108,32,euthanized
